E1,E2 (A),E2 (B),E2 (C),E2 (D),E3,E4,E5 (A),E5 (B),E6 (A),E6 (B),E7,E8,E9,E10,E11
29.07801418,100,75,75,70,0,60.23391813,100,72.72727273,100,66.66666667,0,0,75,100,100
0,100,0,0,94.59459459,23.48484848,21.34831461,100,0,100,62.42774566,87.5,0,100,100,100
0,100,82.55033557,0,23.38709677,0,60.44776119,100,52.77777778,100,77.90697674,75,60,83.33333333,100,100
0,100,8.527131783,0,0,0,36.43410853,9.722222222,39.02439024,100,56.25,100,0,0,100,100
0,0,0,0,0,0,97.43589744,0,2.542372881,32.87671233,0,0,71.42857143,50,60,50
0,100,37.5,0,12.10191083,0,59.86394558,83.52272727,71.34502924,100,35.03649635,87.5,0,80,0,100
0,100,0,0,0,0,66.66666667,100,0,100,66.66666667,80,0,100,100,100
62.5,100,73.94366197,0,0,26.95035461,54.21686747,15.23178808,0,100,37.85714286,100,0,100,100,100
0,100,67.36111111,0,0,0,80.15873016,82.94117647,16.66666667,100,0,75,71.42857143,100,100,100
74.70588235,100,0,0,0,90.90909091,24.08759124,100,92.59259259,100,100,100,66.66666667,83.33333333,100,100
0,100,0,12.16216216,0,0,36.06557377,100,11.84210526,100,42.45810056,0,75,80,66.66666667,100
0,100,0,0,0,83.23353293,60,66.66666667,0,100,37.5,100,75,87.5,0,100
33.33333333,0,0,0,62.34567901,35.18518519,32.90322581,0,7.317073171,75,74.4,85.71428571,66.66666667,60,66.66666667,85.71428571
0,100,20,0,0,0,56.64335664,100,10.45751634,100,66.66666667,100,60,80,100,100
23.63636364,0,0,0,0,28.57142857,0,95.07042254,44.07894737,56.2962963,0,0,0,60,0,60
14.28571429,17.94871795,0,0,0,37.5,51.58730159,5.161290323,69.74789916,83.72093023,14.28571429,0,0,60,100,50
0,100,0,45.78313253,0,19.14893617,31.69014085,75,0,100,100,85.71428571,66.66666667,100,100,100
0,19.52662722,44.44444444,0,6.299212598,21.66666667,0,79.38931298,62.04379562,0,60,0,71.42857143,60,0,50
0,100,0,41.52542373,0,81.02189781,100,33.33333333,51.77304965,100,64.57142857,85.71428571,71.42857143,100,100,100
97.87234043,100,21.93548387,13.69863014,0,0,100,100,0,100,45.83333333,100,0,87.5,100,100
0,100,0,66.66666667,0,0,69.61325967,65.31791908,56.88622754,100,66.66666667,66.66666667,60,66.66666667,100,100
75,0,0,0,9.722222222,0,0,0,31.33333333,88.88888889,56,0,85.71428571,66.66666667,100,0
0,100,0,0,0,0,37.98882682,65.06849315,0,100,100,80,0,97.43589744,100,100
0,100,95,0,0,0,30.55555556,70.83333333,0,100,60,66.66666667,71.42857143,0,100,100
0,41.29032258,4.87804878,0,0,0,0,2.941176471,0,20.68965517,69.27374302,71.42857143,75,0,0,66.66666667
0,100,0,0,0,0,43.91891892,17.64705882,0,100,100,0,0,75,66.66666667,100
0,0,42.96875,0,43.33333333,0,13.15789474,0,0,0,0,60,60,0,0,60
0,100,75.67567568,34.375,18.82352941,97.22222222,50,60,0,100,61.04651163,75,66.66666667,0,100,100
0,100,26.8115942,0,0,0,66.66666667,66.66666667,62.22222222,100,73.85620915,100,50,100,0,100
1.898734177,100,60.90225564,0,0,0,70.83333333,0,0,100,82.42424242,80,60,100,100,100
52.94117647,100,11.51079137,0,0,30.96774194,17.88617886,100,56.58914729,100,72.47191011,83.33333333,75,0,100,100
23.23943662,100,94.73684211,77.6119403,21.83098592,15.27777778,60,67.46031746,14.28571429,100,71.34831461,83.33333333,71.42857143,100,100,100
94.44444444,100,10.44776119,0,9.392265193,0,100,30.82191781,0,100,100,100,0,100,100,100
0,6.666666667,33.11258278,0,0,0,0,0,0,46.21848739,0,85.71428571,0,75,60,50
0,100,9.302325581,0,0,59.49367089,50,77.03703704,30.65693431,100,78.35820896,87.5,60,87.5,100,100
0,0,25.83333333,29.50819672,0,0,36.55172414,0,92,0,0,66.66666667,60,75,0,0
11.11111111,100,65,0,0,0,62.8742515,66.66666667,72.67080745,100,40,85.71428571,66.66666667,66.66666667,0,100
28.57142857,100,0,0,97.97979798,35.71428571,62.2754491,100,31.76470588,100,75,80,66.66666667,0,50,100
